Time,o_sample
0,0
0.0001,.00390625
0.0002,.00390625
0.0003,.0078125
0.0004,.01171875
0.0005,.015625
0.0006,.01953125
0.0007,.02734375
0.0008,.02734375
0.0009,.03125
0.001,.03515625
0.0011,.03515625
0.0012,.03515625
0.0013,.03125
0.0014,.02734375
0.0015,.01953125
0.0016,.0078125
0.0017,0
0.0018,-.015625
0.0019,-.02734375
0.002,-.04296875
0.0021,-.0546875
0.0022,-.06640625
0.0023,-.078125
0.0024,-.0859375
0.0025,-.08984375
0.0026,-.08984375
0.0027,-.0859375
0.0028,-.078125
0.0029,-.0625
0.003,-.046875
0.0031,-.0234375
0.0032,0
0.0033,.0234375
0.0034,.05078125
0.0035,.07421875
0.0036,.09375
0.0037,.109375
0.0038,.12109375
0.0039,.125
0.004,.12109375
0.0041,.11328125
0.0042,.09375
0.0043,.0703125
0.0044,.04296875
0.0045,.01171875
0.0046,-.0234375
0.0047,-.0546875
0.0048,-.0859375
0.0049,-.109375
0.005,-.125
0.0051,-.13671875
0.0052,-.1328125
0.0053,-.1171875
0.0054,-.09375
0.0055,-.0546875
0.0056,-.00390625
0.0057,.05078125
0.0058,.1171875
0.0059,.18359375
0.006,.24609375
0.0061,.3125
0.0062,.3671875
0.0063,.41015625
0.0064,.4375
0.0065,.44921875
0.0066,.44140625
0.0067,.4140625
0.0068,.36328125
0.0069,.29296875
0.007,.20703125
0.0071,.1015625
0.0072,-.015625
0.0073,-.140625
0.0074,-.265625
0.0075,-.390625
0.0076,-.50390625
0.0077,-.60546875
0.0078,-.69140625
0.0079,-.75390625
0.008,-.7890625
0.0081,-.796875
0.0082,-.7734375
0.0083,-.72265625
0.0084,-.64453125
0.0085,-.5390625
0.0086,-.4140625
0.0087,-.26953125
0.0088,-.1171875
0.0089,.046875
0.009,.20703125
0.0091,.359375
0.0092,.50390625
0.0093,.625
0.0094,.7265625
0.0095,.80078125
0.0096,.84375
0.0097,.859375
0.0098,.83984375
0.0099,.7890625
0.01,.7109375
0.0101,.609375
0.0102,.48046875
0.0103,.33984375
0.0104,.1875
0.0105,.02734375
0.0106,-.12890625
0.0107,-.28125
0.0108,-.41796875
0.0109,-.54296875
0.011,-.640625
0.0111,-.71484375
0.0112,-.76171875
0.0113,-.78125
0.0114,-.76953125
0.0115,-.73046875
0.0116,-.66015625
0.0117,-.5703125
0.0118,-.453125
0.0119,-.32421875
0.012,-.18359375
0.0121,-.03515625
0.0122,.11328125
0.0123,.26171875
0.0124,.3984375
0.0125,.5234375
0.0126,.625
0.0127,.70703125
0.0128,.76171875
0.0129,.79296875
0.013,.796875
0.0131,.7734375
0.0132,.71875
0.0133,.64453125
0.0134,.54296875
0.0135,.42578125
0.0136,.29296875
0.0137,.1484375
0.0138,0
0.0139,-.1484375
0.014,-.29296875
0.0141,-.42578125
0.0142,-.54296875
0.0143,-.64453125
0.0144,-.71875
0.0145,-.7734375
0.0146,-.796875
0.0147,-.79296875
0.0148,-.76171875
0.0149,-.703125
0.015,-.625
0.0151,-.5234375
0.0152,-.3984375
0.0153,-.265625
0.0154,-.125
0.0155,.0234375
0.0156,.16796875
0.0157,.3046875
0.0158,.43359375
0.0159,.54296875
0.016,.6328125
0.0161,.69921875
0.0162,.7421875
0.0163,.75390625
0.0164,.7421875
0.0165,.69921875
0.0166,.6328125
0.0167,.54296875
0.0168,.43359375
0.0169,.3046875
0.017,.16796875
0.0171,.0234375
0.0172,-.125
0.0173,-.265625
0.0174,-.3984375
0.0175,-.5234375
0.0176,-.625
0.0177,-.703125
0.0178,-.76171875
0.0179,-.79296875
0.018,-.796875
0.0181,-.7734375
0.0182,-.71875
0.0183,-.64453125
0.0184,-.54296875
0.0185,-.42578125
0.0186,-.29296875
0.0187,-.1484375
0.0188,0
0.0189,.1484375
0.019,.29296875
0.0191,.42578125
0.0192,.54296875
0.0193,.64453125
0.0194,.71875
0.0195,.7734375
0.0196,.796875
0.0197,.79296875
0.0198,.76171875
0.0199,.70703125
0.02,.625
0.0201,.5234375
0.0202,.3984375
0.0203,.265625
0.0204,.125
0.0205,-.0234375
0.0206,-.16796875
0.0207,-.3046875
0.0208,-.43359375
0.0209,-.54296875
0.021,-.6328125
0.0211,-.69921875
0.0212,-.7421875
0.0213,-.75390625
0.0214,-.7421875
0.0215,-.69921875
0.0216,-.6328125
0.0217,-.54296875
0.0218,-.43359375
0.0219,-.3046875
0.022,-.16796875
0.0221,-.0234375
0.0222,.125
0.0223,.265625
0.0224,.3984375
0.0225,.5234375
0.0226,.625
0.0227,.70703125
0.0228,.76171875
0.0229,.79296875
0.023,.796875
0.0231,.7734375
0.0232,.71875
0.0233,.64453125
0.0234,.54296875
0.0235,.42578125
0.0236,.29296875
0.0237,.1484375
0.0238,0
0.0239,-.1484375
0.024,-.29296875
0.0241,-.42578125
0.0242,-.54296875
0.0243,-.64453125
0.0244,-.71875
0.0245,-.7734375
0.0246,-.796875
0.0247,-.79296875
0.0248,-.76171875
0.0249,-.703125
0.025,-.625
0.0251,-.5234375
0.0252,-.3984375
0.0253,-.265625
0.0254,-.125
0.0255,.0234375
