Index,Coefficient
0,0.0001310562
1,-0.0001756391
2,-0.0019222267
3,-0.0048058849
4,-0.0058857858
5,-0.0024425718
6,0.0030534277
7,0.0039886396
8,-0.0014769411
9,-0.005646243
10,-0.0010716291
11,0.0066714484
12,0.0048317784
13,-0.0061278473
14,-0.0093562951
15,0.003177836
16,0.0136471673
17,0.0026816878
18,-0.0162860876
19,-0.0114637622
20,0.0155571944
21,0.0226024062
22,-0.0095132361
23,-0.0349805243
24,-0.0042912966
25,0.0470903809
26,0.0304179053
27,-0.0572723608
28,-0.0844693841
29,0.0640743083
30,0.3108013716
31,0.4335362355
32,0.3108013716
33,0.0640743083
34,-0.0844693841
35,-0.0572723608
36,0.0304179053
37,0.0470903809
38,-0.0042912966
39,-0.0349805243
40,-0.0095132361
41,0.0226024062
42,0.0155571944
43,-0.0114637622
44,-0.0162860876
45,0.0026816878
46,0.0136471673
47,0.003177836
48,-0.0093562951
49,-0.0061278473
50,0.0048317784
51,0.0066714484
52,-0.0010716291
53,-0.005646243
54,-0.0014769411
55,0.0039886396
56,0.0030534277
57,-0.0024425718
58,-0.0058857858
59,-0.0048058849
60,-0.0019222267
61,-0.0001756391
62,0.0001310562
